Source,CAS Catalog Number,FieldNumber,Additional Identifier,Duplicate,Family,CommonName,Genus,Species,Name,affiliation,County,City,Locality,Inial Lat (starts 2018),Initial Long (starts 2018),Latitude,Longitude,Lat/Long Estimated,corrected by,date fixed,georeferencing notes,georeferenced longitude,georeferenced latitude,uncertainty raduis (m),fixed Latitude,fixed Longitude,How fixed lat/long determined,georeferenced by,lat/long protocol,How Lat/Long Det,georeference verification,Confidence Code,GE#,SignsHumanInteraction,BoatCollision,Shot,FisheryInteraction,OtherHumanInter,HowDetermined,OtherCauses,CauseOfDeathOtherRemarks,DateOfInitialObs,First Observed,InitialStatus,Era,ExaminationDate,month,day,year,NoExam,ExamCondition,Sex,AgeClass,condition,CarcassType,StraightLength,SL_units,SL_estimated,Tag at Stranding,Tag_1_ID,Tag_1_Color,Tag_1_Type,Tag_1_Placement,Tag_2_ID,Tag_2_Color,Tag_2_Type,Tag_2_Placement,Disposal_Towed,Disposal_Sunk,SpecimenDisp_ScientificCollection,Necropsy Code,Necropsied,Necropsy Type,Carcass Type,NecropsiedDate,NecropsiedBy,Additional Remarks,Gear Collected,Gear Disposition
CAS,,CAS-Zc-23AUG17-SWG,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SARAH GRIMES,,Mendocino,Caspar,Caspar Headlands in the rocks,,,39.360511,-123.824064,FALSE,kkhigh,3/25/2021 0:15,,-123.824078,39.360447,25,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-17,Beach or Land,Advanced Decomposition,3,8/23/2017,8,,2017,FALSE,Advanced Decomposition,Male,Adult,,Whole Carcass,239,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23AUG18-SLP-A,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,Sonoma,Bodega,"South Salmon Creek Beach, north of Bean Avenue",,,38.351656,-123.068525,FALSE,kkhigh,3/14/2021 4:52,,-123.068525,38.351656,39,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-18,Beach or Land,Advanced Decomposition,3,8/23/2018,8,,2018,FALSE,Advanced Decomposition,Unknown,Yearling,,Whole Carcass,116,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,Beach Watch Data,FALSE,
CAS,,CAS-Zc-23AUG18-SLP-B,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,Sonoma,Bodega,South Salmon Creek Beach at Bean Avenue,,,38.350836,-123.068326,FALSE,kkhigh,3/14/2021 7:10,,-123.068326,38.350836,46,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Aug-18,Beach or Land,Advanced Decomposition,3,8/23/2018,8,,2018,FALSE,Advanced Decomposition,Male,Adult,,Whole Carcass,198,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,"Beach Watch Data. Skull seems petite, but is fully crested.",FALSE,
CAS,,CAS-Zc-23AUG98-RB,,R,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,RAYMOND BANDAR,,San Francisco,San Francisco,OCEAN BEACH JUST S. OF FULTON ST.,,,,,FALSE,kkhigh,3/22/2021 6:15,ngis based off of description,-122.512244,37.770508,212,,,,,,,,,,No,FALSE,FALSE,FALSE,,External Examination,FALSE,SHARK KILL,23-Aug-98,,Unknown,3,8/24/1998,8,,1998,FALSE,Advanced Decomposition,Male,,,No,153.5,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23DEC02-RB,,R,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,RAYMOND BANDAR,,San Mateo,,PT. AñO NUEVO AREA,,,,,FALSE,kkhigh,2/28/2021 2:15,ngis based off of description,-122.328184,37.114414,448,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,External Examination,FALSE,CBD,23-Dec-02,,Moderate Decomposition,3,12/23/2002,12,,2002,FALSE,Moderate Decomposition,Male,,,No,,,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23DEC08-RB-C,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,RAYMOND BANDAR,,SAN MATEO,Montara,Beach N side of Pt. Montara light station youth hostel,,,,,FALSE,kkhigh,3/7/2021 3:51,ngis based off of description,-122.518584,37.537558,80,,,,,,,,,,No,FALSE,FALSE,FALSE,,External Examination,FALSE,CBD,22-Dec-08,,Moderate Decomposition,3,12/23/2008,12,,2008,FALSE,Moderate Decomposition,Male,Subadult,,No,52,in,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23-DEC14-SLP,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Pescadero,Cove Beach at Ano Nuevo SR,,,37.11665,-122.307746,FALSE,kkhigh,2/20/2021 22:12,,-122.307746,37.11665,29,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Dec-14,,Advanced Decomposition,3,12/23/2014,12,,2014,FALSE,Advanced Decomposition,Female,Adult,,No,165,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23DEC19-SLP,,,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Pescadero,"Ano Nuevo State Reserve, Cove Beach",,,37.117806,-122.312085,TRUE,kkhigh,2/11/2021 2:33,,-122.312085,37.117806,30,,,,,,Internet/software,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Dec-19,Beach or Land,Freshly Dead,3,12/23/2019,12,23,2019,FALSE,Freshly Dead,Female,Adult,,Whole Carcass,156,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,Beach Watch Data.,FALSE,
CAS,,CAS-Zc-23FEB14-SLP,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,Marin,Stinson Beach,"Lone Tree Creek Cove, 1 1/2 miles south of Stinson beach",,,37.878576,-122.613119,FALSE,kkhigh,3/20/2021 2:37,,-122.613119,37.878576,40,,,,,,,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,,FALSE,CBD,23-Feb-14,,Moderate Decomposition,3,,2,,2014,FALSE,,Male,Subadult,,No,,,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,FALSE,
CAS,,CAS-Zc-23FEB16-SLP-A,,N,Otariidae,CALIFORNIA SEA LION,Zalophus,californianus,SUE PEMBERTON,,San Mateo,Pescadero,Año Nuevo State Reserve Cove Beach,,,37.116978,-122.308074,FALSE,kkhigh,2/20/2021 21:31,,-122.308074,37.116978,19,,,,,,GPS,,,,Could Not Be Determined (CBD),FALSE,FALSE,FALSE,,Internal Examination,TRUE,Maximilla broken completely across,22-Feb-16,Beach or Land,Moderate Decomposition,3,2/23/2016,2,,2016,FALSE,Moderate Decomposition,Female,,,Whole Carcass,165,cm,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,,,,,Green twine to right rear flipper,FALSE,
